,,,,,Total Domestic Residual Waste Generation and Disposal (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kerbside Waste Bin,,,,Kerbside,,,Drop Off,,,,,,,Clean Up,,,,,,,Total Disposed to Landfill,,Total Waste,,,,
LGA Code,LGA Name,Region Type,Council Name,Regional Groups,Collected,Recycled,Disposed,,Recycling Bin Disposed,Organics Bin Disposed,,Recycling Disposed,Organics Disposed,,Waste Collected,Waste Recycled,Waste Disposed,,Recycling Disposed,Organics Disposed,,Waste Collected,Waste Recycled,Waste Disposed,,,,Collected,Recycled,Waste Disposed,Recycling  Disposed,Organics Disposed
15750,Narrabri,A,NIRW,Rest of NSW," 2,039 ",," 2,039 ",, 23 , -   ,, -   , -   ,," 5,078 ", 556 ," 4,522 ",, -   , -   ,, -   , -   , -   ,," 6,584 ",," 7,117 ", 556 ," 6,561 ", 23 , -   
15800,Narrandera,A,RAMJO Riverina,Rest of NSW," 1,200 ",," 1,200 ",, 60 , -   ,, -   , -   ,, 30 , -   , 30 ,, -   , -   ,, -   , -   , -   ,," 1,290 ",," 1,230 ", -   ," 1,230 ", 60 , -   
15850,Narromine,A,NetWaste,Rest of NSW," 1,192 ",," 1,192 ",, 15 , -   ,, -   , -   ,, 298 , -   , 298 ,, -   , -   ,, -   , -   , -   ,," 1,505 ",," 1,490 ", -   ," 1,490 ", 15 , -   
15900,Newcastle,C,Hunter,ERA," 32,929 ",," 32,929 ",," 1,231 ", 128 ,, -   , -   ,," 19,422 ", 112 ," 19,310 ",, -   , -   ,," 2,822 ", -   ," 2,822 ",," 56,420 ",," 55,173 ", 112 ," 55,061 "," 1,231 ", 128 
15950,North Sydney,A,NSROC,SMA," 12,888 ",," 12,888 ",, 332 , -   ,, -   , -   ,, 211 , 211 , -   ,, -   , -   ,," 2,270 ", -   ," 2,270 ",," 15,490 ",," 15,369 ", 211 ," 15,158 ", 332 , -   
15990,Northern Beaches,A,,SMA," 47,821 "," 15,299 "," 32,522 ",, 972 , -   ,, -   , -   ,," 38,183 ", -   ," 38,183 ",, -   , -   ,," 8,419 ", 0 ," 8,419 ",," 80,095 ",," 94,422 "," 15,299 "," 79,123 ", 972 , -   
16100,Oberon,A,NetWaste,Rest of NSW," 1,478 ",," 1,478 ",, -   , -   ,, -   , -   ,," 1,641 ", 3 ," 1,638 ",, -   , -   ,, 48 , 5 , 43 ,," 3,159 ",," 3,167 ", 8 ," 3,159 ", -   , -   
16150,Orange,C,NetWaste,Rest of NSW," 9,076 ",," 9,076 ",, 202 , -   ,, -   , -   ,," 1,023 ", 168 , 855 ,, -   , -   ,, -   , -   , -   ,," 10,134 ",," 10,099 ", 168 ," 9,932 ", 202 , -   
16200,Parkes,A,NetWaste,Rest of NSW," 2,153 ",," 2,153 ",, 61 , -   ,, 4 , -   ,," 7,558 ", 5 ," 7,553 ",, -   , -   ,, 18 , -   , 18 ,," 9,789 ",," 9,729 ", 5 ," 9,724 ", 65 , -   
16260,Parramatta,C,WSROC,SMA," 48,361 "," 14,025 "," 34,336 ",, 825 , 1 ,, -   , -   ,, 64 , 64 , -   ,, 101 , -   ,," 3,137 ", 494 ," 2,643 ",," 37,906 ",," 51,562 "," 14,583 "," 36,979 ", 926 , 1 
