,,,,,Total Domestic Recyclable Generation (tonnes),,,,,,,,,,,,,,,,,,
,,,,,Kerbside Recycling Bin,,,,CDS Recycling,,,,Drop off Recycling,,,,Cleanup Recycling,,,,Total Recycling,,
LGA Code,LGA Name,Region Type,Council Name,Regional Groups,Collected ,Recycled,Disposed,,Collected ,Recycled,Disposed,, Collected ,Recycled,Disposed,, Collected ,Recycled,Disposed,,Collected ,Recycled,Disposed
15950,North Sydney,A,NSROC,SMA," 6,013 "," 5,651 ", 361 ,, 83 , 83 ,,, -   , -   , -   ,, 14 , -   , 14 ,," 6,110 "," 5,734 ", 375 
15990,Northern Beaches,A,,SMA," 23,055 "," 19,597 "," 3,458 ",," 2,936 "," 2,936 ",,, 74 , 74 , -   ,, -   , -   , -   ,," 26,065 "," 22,607 "," 3,458 "
16100,Oberon,A,NetWaste,Rest of NSW, -   , -   , -   ,, 3 , 3 ,,, 212 , 212 , -   ,, 13 , 13 , -   ,, 227 , 227 , -   
16150,Orange,C,NetWaste,Rest of NSW," 3,067 "," 3,048 ", 18 ,, 745 , 745 ,,, 394 , 362 , 31 ,, -   , -   , -   ,," 4,205 "," 4,156 ", 49 
16200,Parkes,A,NetWaste,Rest of NSW, 730 , 676 , 54 ,, 430 , 430 ,,, 812 , 812 , -   ,, -   , -   , -   ,," 1,972 "," 1,918 ", 54 
16260,Parramatta,C,WSROC,SMA," 12,223 "," 11,368 ", 855 ,, 947 , 947 ,,, -   , -   , -   ,," 1,418 "," 1,418 ", -   ,," 14,588 "," 13,733 ", 855 
16350,Penrith,C,WSROC,SMA," 16,821 "," 15,492 "," 1,329 ",," 3,322 "," 3,322 ",,, 47 , 47 , 0 ,," 1,079 ", -   ," 1,079 ",," 21,270 "," 18,862 "," 2,408 "
16380,Port Macquarie-Hastings,A,MidWaste,RRA," 9,643 "," 8,223 "," 1,421 ",," 1,773 "," 1,773 ",,," 2,339 "," 2,339 ", -   ,, 7 , 7 , -   ,," 13,763 "," 12,342 "," 1,421 "
16400,Port Stephens,A,Hunter,ERA," 6,036 "," 5,892 ", 145 ,," 2,022 "," 2,022 ",,, 722 , 722 , -   ,, 528 , 528 , -   ,," 9,307 "," 9,162 ", 145 
16490,Queanbeyan-Palerang Regional,A,CRJO,Rest of NSW," 3,573 "," 3,138 ", 435 ,," 1,606 "," 1,606 ",,," 1,715 "," 1,715 ", -   ,, 96 , 96 , -   ,," 6,989 "," 6,554 ", 435 
16550,Randwick,C,SSROC,SMA," 10,115 "," 9,104 "," 1,012 ",, 916 , 916 ,,, 506 , 506 , -   ,, 379 , 379 , -   ,," 11,917 "," 10,905 "," 1,012 "
16610,Richmond Valley,A,NEWF,RRA," 1,220 "," 1,169 ", 51 ,, 864 , 864 ,,, 864 , 864 , -   ,, -   , -   , -   ,," 2,948 "," 2,897 ", 51 
16700,Ryde,C,NSROC,SMA," 7,978 "," 7,340 ", 638 ,, 943 , 943 ,,, 0 , 0 , -   ,, 33 , 33 , -   ,," 8,954 "," 8,316 ", 638 
16900,Shellharbour,C,ISJO,ERA," 5,559 "," 5,178 ", 382 ,," 1,362 "," 1,362 ",,, -   , -   , -   ,, -   , -   , -   ,," 6,922 "," 6,540 ", 382 
16950,Shoalhaven,C,ISJO,ERA," 10,392 "," 9,662 ", 730 ,," 2,694 "," 2,694 ",,," 7,229 "," 7,229 ", -   ,, 883 , 883 , -   ,," 21,198 "," 20,468 ", 730 
17000,Singleton,A,Hunter,RRA," 1,513 "," 1,451 ", 63 ,, 558 , 558 ,,, 852 , 852 , -   ,, -   , -   , -   ,," 2,924 "," 2,861 ", 63 
17040,Snowy Monaro Regional,A,CRJO,Rest of NSW," 1,474 "," 1,413 ", 61 ,, 431 , 431 ,,," 2,505 "," 2,505 ", -   ,, -   , -   , -   ,," 4,410 "," 4,349 ", 61 
17080,Snowy Valleys,A,REROC,Rest of NSW," 2,100 "," 2,020 ", 80 ,, 469 , 469 ,,, -   , -   , -   ,, -   , -   , -   ,," 2,569 "," 2,489 ", 80 
17100,Strathfield,A,,SMA," 2,177 "," 1,993 ", 183 ,, 870 , 870 ,,, 8 , 8 , -   ,, 50 , 50 , -   ,," 3,105 "," 2,922 ", 183 
17150,Sutherland Shire,A,SSROC,SMA," 20,881 "," 18,685 "," 2,197 ",," 2,461 "," 2,461 ",,, 136 , 136 , 0 ,," 1,188 "," 1,188 ", -   ,," 24,666 "," 22,469 "," 2,197 "
17200,Sydney,C,SSROC,SMA," 13,398 "," 12,576 ", 822 ,, 702 , 702 ,,, 89 , 85 , 4 ,," 1,517 "," 1,384 ", 133 ,," 15,706 "," 14,747 ", 959 
17310,Tamworth Regional,A,NIRW,Rest of NSW," 3,816 "," 3,256 ", 560 ,," 1,570 "," 1,570 ",,, -   , -   , -   ,, 313 , 313 , -   ,," 5,698 "," 5,138 ", 560 
