,,,,,Total Domestic Organics Generation (tonnes),,,,,,,,,,,,,,,,,,,,,,
,,,,,Kerbside Organics Bin,,,,Kerbside FOGO Organics,,,,Drop off Organics,,,,Cleanup Organics,,,,Other Council Garden Organics,,,,Total Domestic Organics,,
LGA Code,LGA Name,Region Type,Council Name,Regional Groups, Collected ,Recycled,Disposed,,Collected ,Recycled,Disposed,,Collected ,Recycled,Disposed,,Collected ,Recycled,Disposed,,Collected ,Recycled,Disposed,,Collected ,Recycled,Disposed
14550,Kyogle,A,NEWF,RRA,, -   ,,,, -   ,,, 166 , 166 , -   ,, -   , -   , -   ,,,,,, 166 , 166 , -   
14600,Lachlan,A,NetWaste,Rest of NSW, 169 , -   , 169 ,,, -   ,,, 500 , 500 , -   ,, -   , -   , -   ,, -   , -   , -   ,, 669 , 500 , 169 
14650,Lake Macquarie,C,Hunter,ERA,, -   ,,," 35,042 "," 34,635 ", 407 ,, 814 , 814 , -   ,, 489 , 489 , -   ,, -   , -   , -   ,," 36,345 "," 35,938 ", 407 
14700,Lane Cove,A,NSROC,SMA," 3,045 "," 2,745 ", 300 ,,, -   ,,, -   , -   , -   ,, -   , -   , -   ,,,,,," 3,045 "," 2,745 ", 300 
14750,Leeton,A,RAMJO Riverina,Rest of NSW,, -   ,,,, -   ,,, 526 , 526 , -   ,, -   , -   , -   ,, 413.5 , 413.0 , -   ,, 940 , 939 , -   
14850,Lismore,C,NEWF,RRA,, -   ,,," 4,843 "," 4,843 ", -   ,," 1,875 "," 1,875 ", -   ,, -   , -   , -   ,, 120.0 , 120.0 , -   ,," 6,838 "," 6,838 ", -   
14870,Lithgow,C,NetWaste,Rest of NSW,, -   ,,,, -   ,,, 204 , -   , 204 ,, 10 , -   , 10 ,,,,,, 214 , -   , 214 
14900,Liverpool,C,WSROC,SMA," 17,166 "," 16,651 ", 515 ,,, -   ,,, -   , -   , -   ,, -   , -   , -   ,, -   , -   , -   ,," 17,166 "," 16,651 ", 515 
14920,Liverpool Plains,A,NIRW,Rest of NSW,, -   ,,,, -   ,,, -   , -   , -   ,, 65 , -   , 65 ,, -   , -   , -   ,, 65 , -   , 65 
14950,Lockhart,A,REROC,Rest of NSW,, -   ,,,, -   ,,, -   , -   , -   ,, -   , -   , -   ,,,,,, -   , -   , -   
15050,Maitland,C,Hunter,ERA," 7,813 "," 7,790 ", 23 ,,, -   ,,," 1,051 "," 1,051 ", -   ,, -   , -   , -   ,, 241.0 , 241.0 , -   ,," 9,105 "," 9,082 ", 23 
15240,Mid-Coast,A,MidWaste,RRA," 9,758 "," 9,758 ", -   ,,, -   ,,," 3,777 "," 3,777 ", -   ,, -   , -   , -   ,,,,,," 13,535 "," 13,535 ", -   
15270,Mid-Western Regional,A,NetWaste,Rest of NSW,, -   ,,," 1,828 "," 1,828 ", -   ,," 1,261 "," 1,261 ", -   ,, -   , -   , -   ,, -   , -   , -   ,," 3,090 "," 3,090 ", -   
15300,Moree Plains,A,NIRW,Rest of NSW,, -   ,,, 799 , 788 , 10 ,, -   , -   , -   ,, 15 , 15 , -   ,, 245.2 , 245.0 , -   ,," 1,059 "," 1,049 ", 10 
